id,Typically your days are started at:,CGPA,Daily spent time in social media (hour),Are you happy with current situation?,Do you feel low seeing other people's achievement on social media,How many people do you follow on social media?,Concerned about life (a) or goes too easy on life (b).,Do you feel yourself depressed in a hostile situation?,Do you feel confident when you start any project?
151340982,LR,3.48,2019-05-02 00:00:00,No,No,10,A,Yes,Yes
151340985,LR,3.2,Below 1 hour,Maybe,Maybe,3,A,No,Yes
151340990,LR,3.0589999999999997,2019-05-02 00:00:00,Maybe,No,10,B,Yes,No
151340994,LR,3.1,Above 5 hour,Yes,Maybe,50,A,No,No
151340894,08:00:00,2.84,2019-05-02 00:00:00,Maybe,No,15,B,Maybe,No
151340897,06:30:00,3.53,Below 1 hour,Yes,No,very few,A,Maybe,Maybe
151340898,10:00:00,3.77,2019-05-02 00:00:00,Maybe,Yes,20,A,Yes,Yes
151340901,09:00:00,3.2460000000000004,2019-05-02 00:00:00,Maybe,No,1,B,No,No
151340903,11:00:00,2.85,2019-05-02 00:00:00,Yes,Maybe,300,B,Maybe,Maybe
151340905,09:00:00,3.93,2019-05-02 00:00:00,No,Maybe,20,A,Yes,No
151340907,09:00:00,3.31,2019-05-02 00:00:00,Yes,No,10,A,Maybe,Yes
151340909,10:00:00,3.58,2019-05-02 00:00:00,Maybe,Maybe,50,A,Maybe,No
151340910,12:00:00,3.62,2019-05-02 00:00:00,Maybe,No,100,A,Maybe,No
151340911,10:00:00,2.9,2019-05-02 00:00:00,No,No,300,A,Yes,Maybe
151340913,09:00:00,3.4,Above 5 hour,Yes,Yes,5,B,Yes,No
151340916,10:00:00,0.0,2019-05-02 00:00:00,Yes,No,5,A,Maybe,Yes
151340920,11:00:00,2.7,2019-05-02 00:00:00,Yes,Maybe,100,B,Maybe,Maybe
151341035,11:00:00,3.62,2019-05-02 00:00:00,Yes,No,100000,A,No,Yes
121440946,07:00:00,2.34,Below 1 hour,Yes,No,20,A,Maybe,Maybe
151341043,10:00:00,3.845,2019-05-02 00:00:00,Maybe,No,250,A,Maybe,Maybe
141440945,09:30:00,2.88,2019-05-02 00:00:00,No,Yes,200,A,No,No
151341040,12:00:00,3.2460000000000004,2019-05-02 00:00:00,Yes,Yes,Around 100,A,Yes,No
151341045,12:00:00,3.44,2019-05-02 00:00:00,Yes,Yes,100,A,Yes,Yes
141440962,07:30:00,0.0,2019-05-02 00:00:00,Yes,No,2019-06-05 00:00:00,B,No,Yes
151341037,09:30:00,3.23,2019-05-02 00:00:00,Yes,No,20000,A,Yes,Yes
151341038,11:00:00,3.0,2019-05-02 00:00:00,No,Maybe,100+,A,Yes,No
151341039,10.00 AM,3.3,2019-05-02 00:00:00,Yes,No,15,B,Yes,Yes
151341036,10:00:00,3.43,2019-05-02 00:00:00,No,Yes,20,A,Yes,Yes
131440910,09:00:00,2.5,2019-05-02 00:00:00,No,No,few,A,Yes,Maybe
