Timestamp,id, I try to do better than what is expected from me," If I get more change, I return",Its no use worrying about public affairs. ,Are you a book lover?,Is there any book store in your area?,Blood type.,Being introverted or extroverted.,Concerned about life (a) or goes too easy on life (b).,Estimated work time per day.,How much time YOU plays game daily(in average HOUR)?, Budget for buying a laptop,Do you feel guilty if you use spare time to relax?,Do you need to win in order to derive enjoyment from games and sports?,Do you often try to do more than one thing at a time?,Do you find it difficult and frustrating to wait in line?,Are you more of a morning person?,Would you consider yourself to be a perfectionist?
2019/03/31 3:25:33 PM GMT+6,151341040,TRUE,TRUE,TRUE,Yes,No,O+,Yes,A,5,1,0,Yes,No,Yes,No,No,No
2019/03/31 3:26:43 PM GMT+6,131440899,TRUE,TRUE,TRUE,Yes,Yes,story,Yes,A,8,1,70000,Yes,Yes,Yes,Yes,Yes,Maybe
2019/03/31 3:27:18 PM GMT+6,141440899,TRUE,TRUE,TRUE,Yes,Yes,B+,Yes,B,6hrs,1,60000,No,Maybe,Yes,Yes,Maybe,No
2019/03/31 3:27:39 PM GMT+6,151341036,FALSE,TRUE,FALSE,No,Yes,A+,Yes,A,8,1,60,No,No,No,Yes,Maybe,No
2019/03/31 3:27:54 PM GMT+6,151341038,TRUE,TRUE,FALSE,Yes,Yes,a+ve,Yes,A,8hr,1,70k,No,Yes,Yes,Yes,No,Yes
2019/03/31 3:28:09 PM GMT+6,131440910,TRUE,TRUE,FALSE,Yes,Yes,B+ve,Yes,A,4,1,40000,Maybe,Maybe,Yes,Maybe,No,No
2019/03/31 3:29:28 PM GMT+6,151341035,TRUE,TRUE,FALSE,Maybe,Yes,B+,No,A,1-2 hours,3,60-70 thousand,No,Maybe,Maybe,Yes,Maybe,Maybe
2019/03/31 3:29:42 PM GMT+6,141440980,TRUE,TRUE,TRUE,Yes,Yes,b+,No,B,5,1,60,No,No,Yes,Yes,No,No
2019/03/31 3:29:48 PM GMT+6,141340960,FALSE,TRUE,FALSE,Maybe,Yes,O+,Yes,B,6,2,100000,Yes,No,Yes,Yes,No,No
2019/03/31 3:29:59 PM GMT+6,141440945,TRUE,TRUE,TRUE,Yes,No,a+,Yes,A,3-6 hours,2,1lac,No,Yes,No,Yes,Maybe,Maybe
2019/03/31 3:30:06 PM GMT+6,141440962,TRUE,TRUE,TRUE,Maybe,Maybe,B+,Yes,B,2 hours,1,60k,Yes,No,Yes,Yes,Yes,Maybe
2019/03/31 3:30:27 PM GMT+6,141340900,FALSE,TRUE,TRUE,No,No,ab-,No,A,0hr,5,50 thousand,Yes,Yes,Yes,Yes,No,No
2019/03/31 3:30:31 PM GMT+6,151341031,FALSE,FALSE,TRUE,Maybe,No,O+,Yes,B,3 hr,1,"30,000",No,Yes,Yes,Maybe,Yes,Yes
2019/03/31 3:31:12 PM GMT+6,131440969,TRUE,TRUE,TRUE,Yes,Yes,B+,Yes,A,6,3,65000,Maybe,Maybe,Yes,Yes,No,No
2019/03/31 3:31:13 PM GMT+6,121440946,TRUE,TRUE,TRUE,Yes,No,AB+,No,A,12,1,25000,Maybe,Yes,No,Yes,Yes,No
2019/03/31 3:31:38 PM GMT+6,151341039,FALSE,TRUE,FALSE,Yes,Maybe,O+,Yes,B,5,5,100000,No,Maybe,Yes,Yes,No,No
2019/03/31 3:31:44 PM GMT+6,151341045,TRUE,FALSE,TRUE,Maybe,Maybe,B+,Yes,A,4,1,50000,Yes,Yes,No,Yes,No,No
2019/03/31 3:31:44 PM GMT+6,151341037,TRUE,TRUE,TRUE,Maybe,No,A-,Yes,A,5,1,100000,Yes,Yes,Yes,No,No,No
2019/03/31 3:31:45 PM GMT+6,151341043,TRUE,TRUE,TRUE,Maybe,Yes,B+,Yes,A,6 Hours,1,41500,Maybe,Maybe,Maybe,Maybe,No,No
2019/04/01 2:20:43 PM GMT+6,151340969,TRUE,TRUE,TRUE,Yes,Yes,B+,Yes,B,4-5h,1,50-60k,No,Yes,Yes,Maybe,No,Yes
2019/04/01 2:20:56 PM GMT+6,151340968,TRUE,TRUE,FALSE,No,Yes,A+,No,A,4 hours,3,"70,000",No,Yes,Maybe,Maybe,Maybe,No
2019/04/01 2:21:24 PM GMT+6,151340967,TRUE,TRUE,FALSE,Maybe,No,O+,No,A,6 hours,1,50000,Maybe,No,Yes,Yes,No,No
2019/04/01 2:21:37 PM GMT+6,151340949,TRUE,TRUE,FALSE,No,No,A+,Yes,A,12,1,60000,Yes,No,Maybe,Yes,No,No
2019/04/01 2:21:40 PM GMT+6,151340951,TRUE,TRUE,FALSE,Yes,Yes,A+,No,B,2-3 Hours,1,"40,000",No,Yes,Yes,Yes,No,No
2019/04/01 2:21:46 PM GMT+6,151340966,TRUE,TRUE,FALSE,Yes,Yes,B+,No,A,6 hr,1,35k,Yes,Yes,Yes,Yes,Yes,No
2019/04/01 2:21:56 PM GMT+6,151340950,TRUE,TRUE,TRUE,Yes,Yes,O+,No,B,3-4 hours,4,"70,000",No,Maybe,Maybe,Yes,No,No
2019/04/01 2:23:53 PM GMT+6,151340972,TRUE,TRUE,FALSE,Yes,Yes,b+,No,B,5,1,55000,Yes,No,Yes,Yes,No,Maybe
2019/04/01 2:23:54 PM GMT+6,151340961,TRUE,TRUE,TRUE,Yes,Yes,A (+)ve,Yes,A,10,1,"80,000",Yes,Yes,Yes,Maybe,No,No
2019/04/01 2:24:08 PM GMT+6,151340963,TRUE,TRUE,FALSE,Maybe,Yes,O+ve,Yes,A,6-7 hours,2,70000 bdt,No,Yes,Yes,Yes,Maybe,Maybe
2019/04/01 2:24:27 PM GMT+6,151340974,TRUE,FALSE,TRUE,Yes,No,O+,No,B,2h,1,80k,Yes,Yes,Yes,Yes,No,No
2019/04/01 2:24:28 PM GMT+6,151340956,TRUE,TRUE,FALSE,Maybe,Yes,O+,Yes,A,7 hour,1,45k,Yes,No,Yes,Maybe,No,No
2019/04/01 2:24:49 PM GMT+6,151340975,TRUE,FALSE,FALSE,Yes,Yes,Scientific,Yes,A,8,1,50000,No,Yes,Yes,Yes,No,No
2019/04/01 2:24:57 PM GMT+6,151340955,TRUE,TRUE,FALSE,Yes,No,B+,No,A,7-8 Hours,1,50000-55000,No,Yes,No,Yes,No,Maybe
2019/04/01 2:25:27 PM GMT+6,151340960,TRUE,TRUE,TRUE,No,No,A+,Yes,B,4-5 hours,1,60 thousand - 80 thousand ,No,No,No,Yes,No,Yes
2019/04/01 2:25:37 PM GMT+6,151340958,TRUE,TRUE,FALSE,Yes,Yes,O positive,Yes,A,12 hours,1,70 thousand Taka only,No,Yes,Yes,Maybe,Yes,No
2019/04/01 2:25:43 PM GMT+6,151340973,TRUE,TRUE,FALSE,Yes,Yes,A+,Yes,A,7 to 8 hr,1,100000,No,Yes,Yes,Yes,No,No
2019/04/01 2:25:52 PM GMT+6,151340952,TRUE,TRUE,FALSE,Yes,Yes,A+ve,Yes,A,5 hours,1,50k,No,Maybe,No,Yes,Yes,Maybe
2019/04/01 2:26:10 PM GMT+6,151340959,FALSE,TRUE,FALSE,Yes,Yes,B+,No,B,8,1,70 Thousand,Maybe,Maybe,Yes,Yes,Yes,Maybe
2019/04/01 2:27:30 PM GMT+6,151340957,TRUE,TRUE,FALSE,Yes,No,A+,No,A,8,2,50000,Maybe,No,Yes,Yes,No,No
2019/04/01 2:28:01 PM GMT+6,151340970,TRUE,TRUE,TRUE,Yes,Yes,O+,Yes,B,4 hrs,2,60k,Yes,Maybe,Yes,Yes,No,No
2019/04/01 2:28:11 PM GMT+6,151340962,TRUE,TRUE,FALSE,Maybe,Yes,AB+,Yes,B,7 Hours,2,70k,No,No,Maybe,Yes,No,No
2019/04/01 2:29:59 PM GMT+6,151340971,TRUE,TRUE,FALSE,Yes,Yes,O+,Yes,A,5hr,1,50000,Maybe,No,No,Yes,No,No
2019/04/01 2:30:04 PM GMT+6,151340954,TRUE,TRUE,TRUE,No,Yes,B+ve,Yes,A,4hour,1,62k,No,Maybe,No,Yes,No,Maybe
2019/04/01 2:32:02 PM GMT+6,151340964,TRUE,TRUE,TRUE,Yes,No,A+,No,A,5 -8 hours,1,60-70 k,Yes,Maybe,No,Yes,No,No
2019/04/01 3:30:19 PM GMT+6,151340988,FALSE,TRUE,FALSE,Maybe,Yes,O +,Yes,B,1-Feb,1,60000,No,No,No,Yes,No,No
2019/04/01 3:30:24 PM GMT+6,151340998,TRUE,TRUE,TRUE,Maybe,No,O+,Yes,A,8hour,2,40k,Maybe,Yes,Yes,Yes,No,Yes
2019/04/01 3:30:48 PM GMT+6,151340990,TRUE,TRUE,FALSE,Maybe,Maybe,A+,Yes,B,1,1,60K,No,No,No,Yes,No,No
2019/04/01 3:31:40 PM GMT+6,151340992,TRUE,TRUE,FALSE,Yes,Yes,b+,Yes,B,10 hours,2,70000,No,Yes,Yes,Maybe,No,No
2019/04/01 3:31:55 PM GMT+6,151340980,TRUE,TRUE,FALSE,Yes,No,B+,Yes,A,2-3 hours,1,50k,Yes,Maybe,No,Yes,No,No
2019/04/01 3:32:08 PM GMT+6,151340996,TRUE,TRUE,TRUE,No,Yes,B-,No,A,5-Jun,3,"90,000",Yes,Yes,Yes,Maybe,No,No
2019/04/01 3:32:20 PM GMT+6,151340979,TRUE,TRUE,FALSE,Yes,Yes,AB+,Yes,A,7 hours,1,33000/=,Yes,Yes,Yes,Yes,No,Yes
2019/04/01 3:32:22 PM GMT+6,151341003,TRUE,TRUE,TRUE,Maybe,Yes,A+,Yes,A,6hours,1,55000,No,Yes,Maybe,Yes,No,No
2019/04/01 3:32:24 PM GMT+6,151340994,TRUE,FALSE,TRUE,Maybe,Yes,B+,Yes,A,5,1,55000,No,No,Yes,No,Yes,No
2019/04/01 3:32:29 PM GMT+6,151340986,FALSE,FALSE,TRUE,Maybe,Yes,O+,Yes,A,4,1,100000,Yes,Yes,No,Yes,No,No
2019/04/01 3:32:49 PM GMT+6,151340985,TRUE,TRUE,TRUE,No,Yes,b+,Yes,A,5hours,2,100000,No,Yes,Yes,Yes,No,No
2019/04/01 3:32:49 PM GMT+6,151340976,TRUE,TRUE,FALSE,Maybe,Yes,B+,No,A,3-4 hours,1,50000,No,Yes,Yes,Yes,Maybe,Maybe
2019/04/01 3:33:17 PM GMT+6,151340982,TRUE,FALSE,FALSE,Yes,Yes,B+,Yes,A,10 hour,1,60000,Yes,No,Yes,Yes,Yes,No
